,inputs1,inputs2,labels
43,My shoulder was not paining me few minutes ago ,My shoulder was paining me few minutes ago ,0
44,I tried to do my hair myself.,I tried to do my hair myself. I saved money by not going to a professional.,1
45,I went on Twitter and posted a new recipe I came up with.,I went on Twitter and posted a new recipe I came up with. People didn't like it and posted negative comments.,0
46,I was invited to a bingo game. I won a gift card for yelling out bingo.,I was invited to a bingo game. I won a few hundred dollars as winnings.,1
47,My wife and I put up a lot of decorations for Halloween. Pictures of it became viral and our house was featured on national TV!,My wife and I put up a lot of decorations for Halloween. It was a hit with the neighborhood.,0
48,I laid out a picnic blanket in what turned out to be a patch of stinging nettles.,I laid out a picnic blanket in what turned out to be a patch of clover.,1
49,I saw two kangaroos boxing in my backyard and made a video.,I saw two kangaroos boxing in my backyard and got hit by a stray smack.,0
50,"I went outside to fly a kite. The wind wasn't very strong, but I got my kite up in the air.","I went outside to fly a kite. The wind pitched my kite high up into the sky, and I played for hours.",1
51,My new computer is mailed to my house. I put it in my room and start installing my games on the hard drive.,My new computer is mailed to my house.,0
52,I went skydiving for the first time. I hit several tree branches while landing and got many scratches,I went skydiving for the first time. I screamed all the way down and passed out.,1
53,My dad built a tire swing for me in the back yard with a tractor tire he brought home from work. ,"My dad built a tire swing for me in the back yard with a tractor tire he brought home from work.  One day when I was swinging on it, the branch broke and I fell. ",0
54,"I lost a bet with my father. I had to repair his wrap around porch, adding railings, at my expense.",I lost a bet with my father. I was forced to clean out his garage and go to the dump for him.,1
55,Ugh! There are coffee grounds at the bottom of my cup of coffee.,Ugh! There are pepper grounds at the bottom of my cup of coffee.,0
56,"I went to the nursing home, and it was off limits.","I went to the nursing home, and saw my grandma.",1
57,I dragged raced against my friend.,I dragged raced against my friend. We were caught by the police.,0
58,I went to a high school reunion. I fell down and broke my leg.,I went to a high school reunion. I got a stomach ache and couldnt attend.,1
59,I became determined to find out why the dishwasher doesn't drain.,I became determined to find out why the dishwasher doesn't drain. I checked to see if the main drain was clogged but it wasn't.,0
60,I took a walk in the parking lot this afternoon.,I took a walk in the park this afternoon.,1
61,My nephew is visiting from England. We sat and spoke for a while to catch up.,My nephew is visiting from England.,0
62,I was promoted to assistant manager at the McDonald's. .I get shouted at by customers for 60 hours a week for no additional money.,I was promoted to assistant manager at the McDonald's. I have to work more hours but I don't get more money.,1
63,I decided to buy ten tickets at my church's raffle.,I decided to buy ten tickets at my church's raffle. I didn't win anything.,0
64,"I saw a wild mountain lion while hiking alone. The animal crouched, ready to pounce toward me.","I saw a wild mountain lion while hiking alone. The animal stared at me, staring at my face.",1
65,I was waiting for my plane at the airport. My plane was a half hour late.,I was waiting for my plane at the airport. I had gone to the airport on the wrong day.,0
66,"I started writing a novel. I cant focus well, i have been slacking off.",I started writing a novel.,1
67,My car brokedown.,My car brokedown.  I had to buy new tires.,0
68,"At the video arcade, I was able to meet some of my old friends from middle school. However, none of them had a recollection of me.","At the video arcade, I was able to meet some of my old friends from middle school. We were able to talk about our old experiences together.",1
69,I took my dog to the beach. We walked and went back home.,I took my dog to the beach.,0
70,I rented a beach house last month. There were cigarettes in the ashtray when we got there.,I rented a beach house last month.,1
71,my son takes me to a baseball game. Our team pulls ahead of the other team by 7 points.,my son takes me to a baseball game.,0
72,I invited everyone over for a nice potluck dinner.,I invited everyone over for a nice potluck dinner. There was plenty to eat and everyone had fun.,1
73,"I took my dog for a walk. My dog was barking at everyone, he wasn't having a nice time.",I took my dog for a walk. The leash broke and my dog attacked a girl.,0
74,I put a scoop of dried apricots in my bowl. ,I put a scoop of coconut ice cream in my bowl. ,1
75,I ate a burrito for dinner.,I ate a burrito for dinner.  I didn't feel well afterwards.,0
76,I went to walk my dog in the park.,I went to walk my dog in the park. My dog made friends with other dogs in the park.,1
77,My girlfriend stayed with me overnight.,My girlfriend stayed with me overnight. I said something stupid and she slapped me.,0
78,The teacher called me up the front of the class to introduce myself. I got nervous when I saw everyone and I started to stutter.,The teacher called me up the front of the class to introduce myself.,1
79,"When I hired the detective to see if my husband was having an affair, he waited in the parking garage while I was out, and saw my husband drive up, park, and shake hands with a well-dressed man carrying a briefcase who walked over as if on cue.","When I hired the detective to see if my husband was having an affair, he waited in the parking garage while I was out, and saw my husband drive up, park, and a woman who might have been an 'escort' got out of the passenger side, dressed in a skin-tight, short dress and carrying a bottle of liquor.",0
80,I began to raise turkeys in my yard.,I began to raise turkeys in my yard. I had some delicious meat for dinner.,1
81,I made a bird house. I put it outside but there was a storm that knocked it out of the tree.,I made a bird house. I put it outside but the birds were attacked by a stray cat when they went inside.,0
82,I went into a rainforest to document the wildlife. I slipped into a river and ruined all of my equipment.,I went into a rainforest to document the wildlife. I got bit all over by mosquitoes.,1
83,My dad brought me a set of speakers.  The speakers went well with my home entertainment system and new computer.,My dad brought me a set of speakers.  The speakers went well with my new computer.,0
84,I went for a walk on a bridge.,I went for a walk on a bridge. The day was peaceful with no ill events.,1
85,I decided to go on vacation to Australia.,I decided to go on vacation to Australia. The heat was absolutely brutal.,0
86,I was playing the guitar on the street. I was arrested for loitering on the street.,I was playing the guitar on the street. A business owner told me to leave.,1
87,"They built a new bridge near where I live to alleviate traffic, people still take the old route.","They built a new bridge near where I live to alleviate traffic, it made traffic worse by my house.",0
88,I was in a car accident today. My friend drove me to the hospital to have my injuries looked at.,I was in a car accident today. My car was totaled but I was not hurt.,1
89,My son bought me a cake.,My son bought me a cake. It was a plain cake.,0
90,"I planted some flowers in the big pot on the front stoop, and the deer ate them.","I planted some flowers in the big pot on the front stoop, and are still blooming.",1
91,I've been using a fifteen pound medicine ball to workout for the last month and my cardio has improved noticeably.,I've been using a fifteen pound medicine ball to workout for the last month and I'm not sure I've seen any results.,0
92,I read a book by Stephanie Meyer. The awful prose and sexism infuriated me so much I sent Stephanie Meyer death threats.,I read a book by Stephanie Meyer. It was the most god-awful attempt at English prose I've ever seen.,1
93,I took my cat to the ve.t I found out there is nothing wrong with his health.,I took my cat to the vet,0
94,I was playing basketball with my friends. We entered a tournament and won first place.,I was playing basketball with my friends. We entered a tournament and won first place with a cash prize.,1
95,I dropped a heavy iron skillet on my foot.,I dropped a heavy iron skillet on my foot. I was barefoot and cracked a toe bone.,0
96,The back seat of the taxi I rode in smelled of cigarettes. ,The back seat of the taxi I rode in smelled of leather.,1
97,I ordered a new video game online last week on Amazon. It took a month to get to my house despite the promised two day shipping.,"I ordered a new video game online last week on Amazon. It got to my house today but when I opened it, it was not the game that was advertised.",0
98,The pharmacy was completely out of my prescription.,The pharmacy made me wait to refill my prescription.,1
99,I stopped to eat a fast food restaurant.,I stopped to eat a fast food restaurant. My food was a bit too cold.,0
100,"There was a COVID outbreak in my city. There are a lot of new cases, there are some deceased patients.","There was a COVID outbreak in my city. It is slowly expanding, there are some new cases.",1
101,"I came home to brown colored stain on my kitchen floor, turned out it's melted chocolate.","I came home to brown colored stain on my kitchen floor, turned out it's my dog's poop.",0
102,I worked as an exploration Geologist.,I worked as an exploration Geologist. I got to conduct a unique experiment once.,1
103,I was ironing my work shirt. I checked the pockets and found a receipt I'd been looking for.,I was ironing my work shirt.,0
104,I came back to the cabin to find cover during the storm.,I came back to the cabin to relax after the long day.,1
105,I directed a play using preschoolers as cast members. None of the children memorized their lines.,I directed a play using preschoolers as cast members. The children kept wandering off and getting into trouble.,0
106,I took my dog for a walk at the park. My dog got in a bad fight with a Pitbull and was bitten in the arm.,I took my dog for a walk at the park. My dog got in a scuffle with a Chihuahua and he got scared.,1
107,"I want to pave my driveway. I bought material, i will do it all myself.",I want to pave my driveway. I bought material.,0
108,"As I retreated to my rented mountain cabin, the neighbor called out, ""There are all kinds of bats around here, and watch out for them landing in your hair, they love to do that.""","As I retreated to my rented mountain cabin, the neighbor called out, ""There are all kinds of birds, all over the place here; birdsong and more birdsong!""",1
109,I went to the vet. My pet got a free groom.,I went to the vet.,0
110,I drove my car to the store.,I drove my car to the store. I barely had to wait in a line.,1
111,My favorite song by my favorite artist started playing on Spotify. Spotify then started to play songs by an artist that offended me.,My favorite song by my favorite artist started playing on Spotify. My Spotify app crashed and would not re-open.,0
112,I showed movies on a sheet in my yard. I was closed down because of violating Disturbing the Peace laws.,I showed movies on a sheet in my yard.,1
113,My hotel room smelled like minty air freshener.,My hotel room smelled like stale cigarette smoke.,0
114,"I went to buy a new TV last week. I couldnt find the one i was looking for, i had to get a smaller one.",I went to buy a new TV last week.,1
115,The swans in the pond outside my apartment swim back and forth.,The swans in the pond outside my apartment chase me up the path.,0
116,My brother took me to the holocaust museum. ,My brother took me to the holocaust museum.  We got food on the way there.,1
117,"When I was outside, playing with my friends, we saw the ice cream truck drive up and got an ice cream. ","When I was outside, playing with my friends, we saw a semi truck drive by and he honked his horn for us. ",0
118,I couldn't find my lifelong partner at the mall yesterday ,I found my lifelong partner at the mall yesterday ,1
119,I made my own stepping stones at home using Leaf patterns. The stones I made helped keep my shoes dry.,I made my own stepping stones at home using Leaf patterns.,0
120,I went to the beach with my friends.,I went to the beach with my friends. We played volleyball.,1
121,I decided to go a trip to the Grand Canyon. I had a good time ride a donkey along the edge.,I decided to go a trip to the Grand Canyon.,0
122,I'm going into the garden to pull out the weeds.,I'm going into the garden to water the flowers. ,1
123,I decided to bring flowers when I went to my friends' dinner party. I remembered later that the hostess didn't like lilies.,I decided to bring flowers when I went to my friends' dinner party. The hostess said she was severely allergic to lilies and started chain sneezing.,0
124,My cousin invited me to go on his paper route with him.,My cousin invited me to go bowling with him.,1
125,I took my dog into the pet store with me.  I got several compliments on my dog from others in the store. ,I took my dog into the pet store with me.  I took my dog down the aisle with bones and let her pick out her own bone. ,0
126,I burned my hand while trying to cook S'mores over the camp fire.,I burned my marshmallow while trying to cook S'mores over the camp fire.,1
127,I decided to pull the fire alarm to get out of taking my final.,I decided to pull the fire alarm to get out of taking my final. A teacher noticed me hanging out near the alarm and I had to abandon my plan.,0
128,My friend dared me to streak through a graveyard.,My friend dared me to streak through a graveyard. I did it and my friends were impressed.,1
129,I recommended that our company switch to biodegradable plates in the cafeteria. People grumbled but eventually got used to them.,"I recommended that our company switch to biodegradable plates in the cafeteria. They were prone to melting, and the CEO called it the dumbest idea he ever heard.",0
130,My family and I went to a new photography studio to have our family photo's done this year. ,My family and I went to a new photography studio to have our family photo's done this year.  Their packages were much more affordable than anywhere we have ever been. ,1
131,I got a job as a mechanic for a large garage. I was new to the trade.,I got a job as a mechanic for a large garage. I dropped a large set of wrenches and had to repack them.,0
132,I went to a fast food restaurant to pick up my dinner. There was a shard of glass inside the burger and it stabbed my mouth.,I went to a fast food restaurant to pick up my dinner. There was a roach inside the bag of food.,1
133,I decided to go on vacation to Brazil. I sweated through my clothes ten minutes after getting dressed.,I decided to go on vacation to Brazil. I contracted intestinal parasites from improperly cooked meat.,0
134,I ordered a pair of shoes online but when it arrived it was two sizes too small.,I ordered a pair of shoes online but when it arrived the color was a little off.,1
135,I went to summer camp and got to star in the play there.,I went to summer camp and got to watch the play there.,0
136,I received a piece of certified mail from my mail man today that I had to sign for.  It was a fraud check from an internet scam trying to get me to send money to someone in another country. ,I received a piece of certified mail from my mail man today that I had to sign for. ,1
137,I went to the sink to get some water.  I felt really refreshed after a few drinks.,I went to the sink to get some water.,0
138,"I am visiting my friend in the city and we have a bunch of places we wanted to visit, but most of them are closed because of the pandemic.","I am visiting my friend in the city and we have a bunch of places we plan to visit, so we'll get exercise and have some adventures.",1
139,I have recently noticed that my hair is getting thinner so I purchased some thickening shampoo and I'm not sure if there has been any improvement.,I have recently noticed that my hair is getting thinner so I purchased some thickening shampoo and I've noticed more hair falling out.,0
140,I harvested the corn in my home garden. The corn had smut inside the shucks and was inedible.,I harvested the corn in my home garden. The yield was barely enough to serve at the barbeque.,1
141,I drive to the Wendy's down the street.,I drive to the Wendy's down the street. They ran out of ice cream.,0
142,I watched the final episode of my favorite TV series.,I watched the final episode of my favorite TV series. I ate popcorn while I watched.,1
143,I went into the subway tunnel with all the cash that I need to get to my location. ,I went into the subway tunnel knowing I needed more cash to get to my location. ,0
144,My hanging baskets of flowers started to look dull so I decided to prune them. ,My hanging baskets of flowers started to look dull so I decided to prune them.  When I was done they looked more vibrant than when I first bought them. ,1
145,I was baking a cake for my mother. It didn't turn out as quite good as I wanted it to.,I was baking a cake for my mother. I accidentally used the wrong color icing and she was upset.,0
146,I went to audition for American Idol. The judges told me I had potential but all told me no.,I went to audition for American Idol.,1
147,I took a bus ride downtown.,I took a bus ride downtown. The bus was crowded and i had to stand up the whole trip.,0
148,"I decided to keep a pet rat in my room. He had babies and they escaped, infesting my whole house, damaging wiring in the walls.",I decided to keep a pet rat in my room. He chew through the wires on my lamp.,1
149,My daughter asked me if she could use my laptop for school.  She ended up getting an A on the report she used it to write. ,My daughter asked me if she could use my laptop for school. ,0
150,I asked my spouse to call the florist and send flowers to the funeral home where my best friend's father's funeral was being held.  When we got to the funeral home and saw the flowers the quality was terrible and they looked dead. ,I asked my spouse to call the florist and send flowers to the funeral home where my best friend's father's funeral was being held.  The florist accidentally charged our credit card twice for the flower arrangement. ,1
151,My lawn company came out to mow my lawn. ,My lawn company came out to mow my lawn.  They forgot to weed whip around the trees in my back yard. ,0
152,When I got my pictures back I realized that there was a booger on my shirt.,When I got my pictures back I realized that there was a bird in the background.,1
153,I drove to work Monday morning. There was no traffic so I arrived early.,I drove to work Monday morning.,0
154,I spent the last day of my vacation buying souvenirs. I found something that I'm not sure they would like.,I spent the last day of my vacation buying souvenirs. I found something that they would like.,1
155,I went to the golf tournament and was bored.,I went to the golf tournament and got sick from the rain. ,0
156,"I played ball with my son, he threw the ball back but it landed through the neighbor's window.","I played ball with my son, he threw the ball back but it landed on the ground.",1
157,I felt the Large package with Bike Tires sticking out.,I felt the Large package with wooden spikes sticking out.,0
158,I hosted a 4th of July barbeque. The city canceled the fireworks show.,I hosted a 4th of July barbeque. A few people didn't show up.,1
159,"I lied to my mom about my grades. She found out, gave me a whooping and grounded me.",I lied to my mom about my grades. She found out and sent me away to boot-camp.,0
160,I saw a snake sitting in my backyard earlier today.,I saw a rabbit sitting in my backyard earlier today.,1
161,I went to the spa to hand in my coupon for a free massage. ,I went to the spa to hand them my money for an expensive massage. ,0
162,I went on a blind date.,I went on a blind date. We had coffee together.,1
163,I agreed to feed my neighbor's fish while they were gone from home on a trip. I learned a lot about the fish and their habits.,I agreed to feed my neighbor's fish while they were gone from home on a trip.,0
164,I was unable to meet my boyfriend at the beach party last weekend ,I met my boyfriend at the beach party last weekend ,1
165,"I became a genetic counselor, helping people figure out the best plans for their health. The advice I offered families allowed them to have children with long healthy lives.","I became a genetic counselor, helping people figure out the best plans for their health. I offered ideas for improving diets based on genomes.",0
166,I stopped at the bakery. I ordered a donut for breakfast.,I stopped at the bakery. I got a donut and a cup of coffee.,1
167,I got a parking ticket after I parked illegally.,My car got towed after I parked illegally.,0
168,I was working at the factory.,I was working at the factory. My boss brought lunch for the department.,1
169,"Its been a long couple of weeks. Im getting my vacations, i have work to do at home.",Its been a long couple of weeks.,0
170,"I had an unfortunate experience when I was arrested. I was jailed, then lost my trial.",I had an unfortunate experience when I was arrested. I was finally allowed to go free after 2 long nights.,1
171,I was on a road trip with my family. My father bought us sodas and chips.,I was on a road trip with my family. My father bought us all sodas.,0
172,I learned to fix my own computer. I turned that skill into a way to help friends.,I learned to fix my own computer. I turned that skill into a successful business and could help my friends.,1
173,I left an hour early to get to work today. I avoided the heavy traffic.,I left an hour early to get to work today. I was almost late because I had to take a detour because there was road work.,0
174,I wanted a leopard for a pet.  My dad tried to get me a leopard but couldn't afford it.,I wanted a leopard for a pet.,1
175,I made a three point shot in the fourth quarter. ,I sprained my ankle in the fourth quarter. ,0
176,"A pocket gopher decided to live nearby. The rodent dug into my yard, tunneling.","A pocket gopher decided to live nearby. The animal came into my yard, causing concern.",1
177,My doctor told me I might throw out my back if I start lifting weights.,My doctor told me I might have a heart attack if I start lifting weights.,0
178,I called down to the desk for room service. They said the wait would be minimal.,I called down to the desk for room service. They had exactly what I wanted.,1
179,I tried out and was able to play Professional poker.,I tried out and was able to play amateur poker.,0
180,I designed a new website for my business. The design was accused of being stolen and I was sued.,"I designed a new website for my business. The design was poor and several bloggers called attention to how awful it was, causing the business to lose a lot of business.",1
181,I decided to read a John Grisham novel. I found the courtroom scenes tedious.,I decided to read a John Grisham novel. I thought the whole thing was predictable and preachy.,0
182,I spent the afternoon running around my lawn with my lawnmower. ,I spent the afternoon running around my lawn with my puppy. ,1
183,I am baking cookies. Some are soft and chewy.,I am baking cookies.,0
184,I decided to try some new teas at a local tea shop.,"I decided to try some new teas at a local tea shop. It was a nice, relaxing break in my afternoon.",1
185,I forgot to pay my rent.,I forgot to pay my rent. My landlord put a pay or quit notice on my front door.,0
186,My teacher gave us a pop quiz. The material was vaguely familiar to me.,My teacher gave us a pop quiz. I knew all of the answers.,1
187,I was working in a kitchen. I burned my finger on the stove.,I was working in a kitchen. My boss fired me yesterday.,0
188,"I wore jeans to the game, and noticed a hole in the crotch.","I wore jeans to the game, and needed a belt.",1
189,I entered a pie eating contest. I ate a lot but lost the contest badly.,I entered a pie eating contest. I became very sick and had to be hostpitalized.,0
190,I played a game of hockey with my friends. The game ended with a huge fight.,I played a game of hockey with my friends. There was a huge verbal argument.,1
191,My aunt and I played chess and I won the game and she lost the game.,My aunt and I played chess and I lost the game and she won the game.,0
192,"I finally got a big water bottle instead of using plastic bottles, the lid leaks all the time.","I finally got a big water bottle instead of using plastic bottles, it is less convenient.",1
193,"I made pizza for lunch. It was flavourful, i added cheese and pesto.",I made pizza for lunch. It what I expected it would be.,0
194,I was a half an hour late to the Sunday church service.  Everyone looked back at me with nasty looks as I walked in to find my seat. ,I was a half an hour late to the Sunday church service. ,1
195,I transferred some spending money to my teenage daughter's account and discovered her donating half of it for charity.,I transferred some spending money to my teenage daughter's account and discovered her giving half of it to her boyfriend.,0
196,I skipped school with some friends.  I got caught by the school and had to stay after school for detention. ,"I skipped school with some friends.  My mom drove by and saw me, picked me up and brought me back to school. ",1
197,The diner I chose to eat breakfast at was crowded.,The diner I chose to eat breakfast at was closed.,0
198,I decided to explore a cave in Mexico on my spring break.,I decided to explore a cave in Mexico on my spring break. I found the dark and quiet very peaceful.,1
199,"I had to get ready for church, so I got dressed, put on makeup, walked to the bus stop and the bus was right on time, so I was on time to church.","I had to get ready for church, so I got dressed, put on makeup, walked to the bus stop and the bus was late, so I was late to church.",0
200,I threw a quinceanera for my granddaughter. She got so nervous she threw up.,I threw a quinceanera for my granddaughter.,1
201,I cooked dinner for my husband.,I cooked dinner for my husband. My husband said I didn't put enough salt but ate the food anyway.,0
202,I was riding on a boat in the lake. We hit a rock in the middle of the lake and the boat sank.,I was riding on a boat in the lake. We ran out of gas and had to get towed.,1
203,"I joined the coast guard and went out to sea. I had a good time, enjoying the ocean with the other guards.",I joined the coast guard and went out to sea.,0
204,I tried to make jerky at home. It got so hard it couldn't be chewed.,I tried to make jerky at home.,1
205,I decided to go to my local library.  I found my favorite book and checked it out. ,I decided to go to my local library.  I stayed for a bit and read a magazine. ,0
206,I went to the golf course. My friend paid for us to play the round.,I went to the golf course. My friend paid for us to play and I won the round.,1
207,I took a trip to the ocean. I went to the beach but it was overcast the whole time.,I took a trip to the ocean. It rained the whole time I was in town.,0
208,I am looking for a house. I have a couple of houses i might look into.,I am looking for a house. I saw one that i like and adjusts to my budget.,1
209,I carried two bags of groceries back home. One of the bags ripped open.,I carried two bags of groceries back home. It began to rain and ruin everything I bought.,0
210,I cooked dinner for my parents. It gave them food poisoning.,I cooked dinner for my parents. The food got slightly burnt.,1
211,I arrived at the hotel. There was free soda in the front lobby.,I arrived at the hotel.,0
212,I hired a pest contractor to inspect my home. I was told that the messy crawl space needed to be placed in order to reduce rodent hiding areas.,I hired a pest contractor to inspect my home.,1
213,I took my wife to a steak house for our anniversary.,I took my wife to Burger King for our anniversary.,0
214,I took my niece to the build-a-bear workshop at the mall.,I took my niece to the build-a-bear workshop at the mall. She had a lot of fun customizing a pink and green bear.,1
215,I was cleaning the cat's litter box. It smelled really bad.,I was cleaning the cat's litter box. It smelled bad and looked gross.,0
216,"I went to the doctor to see if I needed glasses. She said I might need glasses in a few years, but not now.",I went to the doctor to see if I needed glasses. She told me my vision was 20/20.,1
217,I stop by the local convenience store every morning to get a breakfast sandwich.,I stop by the local convenience store every morning to get a breakfast sandwich. This morning the bread seemed stale.,0
218,I had trouble memorizing the information before the test. I failed the test.,I had trouble memorizing the information before the test. I didn't do very well on my test.,1
219,I bought take out the other day.,I bought take out the other day. The food was more expensive than I thought it would have been.,0
220,I made up my mind to go grocery shopping for my urgent needs. I grabbed the last pack of Paper Towels but was tackled by a woman and had it wrested from my hands.,"I made up my mind to go grocery shopping for my urgent needs. I couldn't find any toilet paper, which I was out of.",1
221,"I tried to train for a marathon, trying to push myself.","I tried to train for a marathon, trying to push myself. I ran up a tall hill, going fast.",0
222,I was visiting my grandpa in the nursing home. He yelled at me and told me to get lost.,I was visiting my grandpa in the nursing home. He ignored me the whole time I was there.,1
223,"I went to the pharmacy to pick up my prescription. I was told there were no refills, I had to call my doctor right then to straighten it out.",I went to the pharmacy to pick up my prescription. I was arrested for shoplifting while I was there.,0
224,I saw the forecast predicted a snowstorm.,I saw the forecast predicted a snowstorm. I had weatherproofed so it would not do any damage to my property.,1
225,I saw a wild mountain lion while hiking alone.,I saw a wild mountain lion while hiking alone. I froze in fear when I saw it.,0
226,"When I paid the babysitter, she said that my kids were little hellions.","When I paid the babysitter, she said that my kids were very easygoing.",1
227,My aunt took me and my siblings to Disney World over the summer.  The hotel we stayed at had an indoor swimming pool where we went swimming. ,My aunt took me and my siblings to Disney World over the summer. ,0
228,I had to go to the dentist. They discovered a cavity before it got too bad.,I had to go to the dentist. My teeth were in perfect condition.,1
229,I went foraging in the forest for food.,"I went foraging in the forest for food. I got lost and had to spend the night in the woods, shivering.",0
230,I was playing football with my friends. I missed the ball and it hit me in the face.,I was playing football with my friends. I missed the pass and we lost the game.,1
231,I dug up a dying tree in my front yard. The roots were deep.,I dug up a dying tree in my front yard. The tree was diseased and the disease spread to other trees.,0
232,I went fishing today. I felt a bite on the line but the fish got away.,I went fishing today.,1
233,I went to the doctor for my annual checkup.,I went to the doctor for my annual checkup. I have high blood pressure,0
234,I started my own film club. The club meetings yielded great discussion and insight.,"I started my own film club. We were so large we were able to have Brad Pitt and Al Pacino speak at our festival, bringing even larger crowds. We facilitated inspiring and interesting conversations.",1
235,I took my cat to the vet,I took my cat to the vet. The vet found a splinter in his paw.,0
236,I decided to hire a personal trainer. The trainer pushed me so hard I pulled a muscle.,I decided to hire a personal trainer. The trainer was rude and demanding.,1
237,"I made a hanging garden basket to create a food source. I had fresh salad fixings when the store ran out of food, feeding my family.","I made a hanging garden basket to create a food source. The basket was a source of envy for my friends, who copied my efforts.",0
238,I go out with my dog in the park so he can relieve himself. ,I go out with my dog in the park so he can run around. ,1
